1단계,2단계,격자 X,격자 Y,경도(초/100),위도(초/100)
서울특별시,,60,127,126.98000833333333,37.56356944444444
서울특별시,종로구,60,127,126.98164166666668,37.57037777777778
서울특별시,중구,60,127,126.99964166666666,37.56100277777777
서울특별시,용산구,60,126,126.96752222222223,37.536094444444444
서울특별시,성동구,61,127,127.039,37.56061111111111
서울특별시,광진구,62,126,127.08453333333333,37.535738888888886
서울특별시,동대문구,61,127,127.04214166666667,37.571625000000004
서울특별시,중랑구,62,128,127.09477777777778,37.60380555555556
서울특별시,성북구,61,127,127.02033333333333,37.58638333333334
서울특별시,강북구,61,128,127.02771944444444,37.63695555555555
서울특별시,도봉구,61,129,127.04952222222222,37.66583333333333
서울특별시,노원구,61,129,127.05838888888889,37.65146111111111
서울특별시,은평구,59,127,126.93124166666666,37.59996944444445
서울특별시,서대문구,59,127,126.93889722222222,37.57636666666667
서울특별시,마포구,59,127,126.91053055555557,37.56070555555555
서울특별시,양천구,58,126,126.86870833333333,37.51423055555556
서울특별시,강서구,58,126,126.851675,37.54815555555555
서울특별시,구로구,58,125,126.88959722222224,37.49265
서울특별시,금천구,59,124,126.90419722222222,37.44910833333333
서울특별시,영등포구,58,126,126.89834166666667,37.52361111111111
서울특별시,동작구,59,125,126.941575,37.509655555555554
서울특별시,관악구,59,125,126.95384444444444,37.47538611111111
서울특별시,서초구,61,125,127.03481111111111,37.480786111111115
서울특별시,강남구,61,126,127.04955555555556,37.514575
서울특별시,송파구,62,126,127.10793055555555,37.51175555555555
서울특별시,강동구,62,126,127.12586388888889,37.527366666666666
부산광역시,,98,76,129.07695277777776,35.17701944444444
부산광역시,중구,97,74,129.03450833333332,35.10321666666667
부산광역시,서구,97,74,129.02637777777778,35.094836111111114
부산광역시,동구,98,75,129.059175,35.135894444444446
부산광역시,영도구,98,74,129.0701861111111,35.08811666666667
부산광역시,부산진구,97,75,129.05531944444445,35.159952777777775
부산광역시,동래구,98,76,129.08585555555555,35.20187222222223
부산광역시,남구,98,75,129.0865,35.133408333333335
부산광역시,북구,96,76,128.99247499999998,35.194180555555555
부산광역시,해운대구,99,75,129.16580833333333,35.160019444444444
부산광역시,사하구,96,74,128.97704166666668,35.10142777777778
부산광역시,금정구,98,77,129.09431944444447,35.24007777777778
부산광역시,강서구,96,76,128.98290833333334,35.209163888888895
부산광역시,연제구,98,76,129.082075,35.17318611111111
부산광역시,수영구,99,75,129.115375,35.142466666666664
부산광역시,사상구,96,75,128.9933333333333,35.14946666666667
부산광역시,기장군,100,77,129.224475,35.241350000000004
대구광역시,,89,90,128.60355277777776,35.868541666666665
대구광역시,중구,89,90,128.6083972222222,35.866286111111116
대구광역시,동구,90,91,128.63771111111112,35.88361666666667
대구광역시,서구,88,90,128.5614111111111,35.86879444444445
대구광역시,남구,89,90,128.59980000000002,35.84297777777778
대구광역시,북구,89,91,128.58502222222222,35.8827
대구광역시,수성구,89,90,128.63286666666667,35.85520833333334
대구광역시,달서구,88,90,128.53506388888889,35.82692777777778
대구광역시,달성군,86,88,128.43327499999998,35.771680555555555
인천광역시,,55,124,126.70735277777779,37.45323333333334
인천광역시,중구,54,125,126.62356666666666,37.470933333333335
인천광역시,동구,54,125,126.64536666666667,37.47103611111111
인천광역시,미추홀구,54,124,126.65268611111112,37.460680555555555
인천광역시,연수구,55,123,126.68044166666667,37.40712222222222
인천광역시,남동구,56,124,126.73379722222222,37.44451944444444
인천광역시,부평구,55,125,126.7241,37.504266666666666
인천광역시,계양구,56,126,126.73975277777778,37.53479166666666
인천광역시,서구,55,126,126.6782,37.54269166666666
인천광역시,강화군,51,130,126.49,37.743858333333336
인천광역시,옹진군,54,124,126.6388888888889,37.44372499999999
광주광역시,,58,74,126.85336388888888,35.156974999999996
광주광역시,동구,60,74,126.92517777777778,35.1431
광주광역시,서구,59,74,126.89341111111112,35.149483333333336
광주광역시,남구,59,73,126.91014444444446,35.119036111111114
광주광역시,북구,59,75,126.91412222222223,35.171124999999996
광주광역시,광산구,57,74,126.7957888888889,35.136427777777776
대전광역시,,67,100,127.38656666666667,36.347119444444445
대전광역시,동구,68,100,127.43485277777778,36.324133333333336
대전광역시,중구,68,100,127.42311111111111,36.322630555555556
대전광역시,서구,67,100,127.38577500000001,36.35248333333333
대전광역시,유성구,67,101,127.35834166666666,36.359366666666666
대전광역시,대덕구,68,100,127.41768611111111,36.34379444444445
울산광역시,,102,84,129.3136888888889,35.53540833333333
울산광역시,중구,102,84,129.334875,35.566341666666666
울산광역시,남구,102,84,129.3323861111111,35.54076388888889
울산광역시,동구,104,83,129.41895277777778,35.50188888888889
울산광역시,북구,103,85,129.36354444444444,35.57968888888889
울산광역시,울주군,101,84,129.2971638888889,35.53073888888889
세종특별자치시,,66,103,127.2890691,36.4800121
세종특별자치시,세종특별자치시,66,103,127.2890691,36.4800121
경기도,,60,120,127.01168888888888,37.27184444444444
경기도,수원시장안구,60,121,127.01222222222222,37.30101111111111
경기도,수원시권선구,60,120,126.974075,37.254733333333334
경기도,수원시팔달구,61,121,127.03783333333332,37.28310277777778
경기도,수원시영통구,61,120,127.04863333333333,37.25631111111111
경기도,성남시수정구,63,124,127.14771944444445,37.447491666666664
경기도,성남시중원구,63,124,127.13941944444446,37.42766944444444
경기도,성남시분당구,62,123,127.12101944444444,37.37996944444445
경기도,의정부시,61,130,127.03584166666667,37.73528888888889
경기도,안양시만안구,59,123,126.9345,37.38377777777778
경기도,안양시동안구,59,123,126.95335555555556,37.3897
경기도,부천시,56,125,126.766,37.5035917
경기도,광명시,58,125,126.86670833333332,37.475750000000005
경기도,평택시,62,114,127.11465555555554,36.98943888888889
경기도,동두천시,61,134,127.06265277777777,37.90091666666667
경기도,안산시상록구,58,121,126.84681944444444,37.298519444444445
경기도,안산시단원구,57,121,126.81441944444444,37.31672777777778
경기도,고양시덕양구,57,128,126.83419722222222,37.63458333333333
경기도,고양시일산동구,56,129,126.77705555555555,37.65590833333333
경기도,고양시일산서구,56,129,126.75277777777778,37.672486111111105
경기도,과천시,60,124,126.9898,37.42637222222222
경기도,구리시,62,127,127.13186388888889,37.591625
경기도,남양주시,64,128,127.21863333333333,37.63317777777778
경기도,오산시,62,118,127.07964166666666,37.14691388888889
경기도,시흥시,57,123,126.80507777777777,37.377319444444446
경기도,군포시,59,122,126.9375,37.35865833333334
